APPLIED_DATE,GROUP,BRANCH_ID,STATE,ZONE,APPLICATION_COUNT
2018-03-16,1,0,WEST BENGAL,EAST,229.0
2018-03-17,1,0,WEST BENGAL,EAST,186.0
2018-03-18,1,0,WEST BENGAL,EAST,181.0
2018-03-19,1,0,WEST BENGAL,EAST,252.0
2018-03-20,1,0,WEST BENGAL,EAST,234.0
2018-03-21,1,0,WEST BENGAL,EAST,211.0
2018-03-22,1,0,WEST BENGAL,EAST,209.0
2018-03-23,1,0,WEST BENGAL,EAST,224.0
2018-03-24,1,0,WEST BENGAL,EAST,204.0
2018-03-25,1,0,WEST BENGAL,EAST,189.0
2018-03-26,1,0,WEST BENGAL,EAST,261.0
2018-03-27,1,0,WEST BENGAL,EAST,220.0
2018-03-28,1,0,WEST BENGAL,EAST,264.0
2018-03-29,1,0,WEST BENGAL,EAST,191.0
2018-03-30,1,0,WEST BENGAL,EAST,244.0
2018-03-31,1,0,WEST BENGAL,EAST,1671.0
2018-04-01,1,0,WEST BENGAL,EAST,5.0
2018-04-02,1,0,WEST BENGAL,EAST,10.0
2018-04-03,1,0,WEST BENGAL,EAST,12.0
2018-04-04,1,0,WEST BENGAL,EAST,11.0
2018-04-05,1,0,WEST BENGAL,EAST,7.0
2018-04-06,1,0,WEST BENGAL,EAST,15.0
2018-04-07,1,0,WEST BENGAL,EAST,9.0
2018-04-08,1,0,WEST BENGAL,EAST,8.0
2018-04-09,1,0,WEST BENGAL,EAST,415.0
2018-04-10,1,0,WEST BENGAL,EAST,14.0
2018-04-11,1,0,WEST BENGAL,EAST,270.0
2018-04-12,1,0,WEST BENGAL,EAST,207.0
2018-04-13,1,0,WEST BENGAL,EAST,235.0
2018-04-14,1,0,WEST BENGAL,EAST,245.0
2018-04-15,1,0,WEST BENGAL,EAST,359.0
2018-04-16,1,0,WEST BENGAL,EAST,284.0
2018-04-17,1,0,WEST BENGAL,EAST,240.0
2018-04-18,1,0,WEST BENGAL,EAST,236.0
2018-04-19,1,0,WEST BENGAL,EAST,209.0
2018-04-20,1,0,WEST BENGAL,EAST,211.0
2018-04-21,1,0,WEST BENGAL,EAST,182.0
2018-04-22,1,0,WEST BENGAL,EAST,160.0
2018-04-23,1,0,WEST BENGAL,EAST,231.0
2018-04-24,1,0,WEST BENGAL,EAST,219.0
2018-04-25,1,0,WEST BENGAL,EAST,230.0
2018-04-26,1,0,WEST BENGAL,EAST,201.0
2018-04-27,1,0,WEST BENGAL,EAST,203.0
2018-04-28,1,0,WEST BENGAL,EAST,190.0
2018-04-29,1,0,WEST BENGAL,EAST,177.0
2018-04-30,1,0,WEST BENGAL,EAST,317.0
2018-05-01,1,0,WEST BENGAL,EAST,4.0
2018-05-02,1,0,WEST BENGAL,EAST,217.0
2018-05-03,1,0,WEST BENGAL,EAST,199.0
2018-05-04,1,0,WEST BENGAL,EAST,204.0
2018-05-05,1,0,WEST BENGAL,EAST,192.0
2018-05-06,1,0,WEST BENGAL,EAST,161.0
2018-05-07,1,0,WEST BENGAL,EAST,268.0
2018-05-08,1,0,WEST BENGAL,EAST,209.0
2018-05-09,1,0,WEST BENGAL,EAST,242.0
2018-05-10,1,0,WEST BENGAL,EAST,172.0
2018-05-11,1,0,WEST BENGAL,EAST,176.0
2018-05-12,1,0,WEST BENGAL,EAST,186.0
2018-05-13,1,0,WEST BENGAL,EAST,121.0
2018-05-14,1,0,WEST BENGAL,EAST,127.0
2018-05-15,1,0,WEST BENGAL,EAST,233.0
2018-05-16,1,0,WEST BENGAL,EAST,220.0
2018-05-17,1,0,WEST BENGAL,EAST,158.0
2018-05-18,1,0,WEST BENGAL,EAST,191.0
2018-05-19,1,0,WEST BENGAL,EAST,187.0
2018-05-20,1,0,WEST BENGAL,EAST,181.0
2018-05-21,1,0,WEST BENGAL,EAST,263.0
2018-05-22,1,0,WEST BENGAL,EAST,181.0
2018-05-23,1,0,WEST BENGAL,EAST,197.0
2018-05-24,1,0,WEST BENGAL,EAST,206.0
2018-05-25,1,0,WEST BENGAL,EAST,212.0
2018-05-26,1,0,WEST BENGAL,EAST,171.0
2018-05-27,1,0,WEST BENGAL,EAST,196.0
2018-05-28,1,0,WEST BENGAL,EAST,243.0
2018-05-29,1,0,WEST BENGAL,EAST,204.0
2018-05-30,1,0,WEST BENGAL,EAST,244.0
2018-05-31,1,0,WEST BENGAL,EAST,354.0
2018-06-01,1,0,WEST BENGAL,EAST,23.0
2018-06-02,1,0,WEST BENGAL,EAST,229.0
2018-06-03,1,0,WEST BENGAL,EAST,192.0
2018-06-04,1,0,WEST BENGAL,EAST,316.0
2018-06-05,1,0,WEST BENGAL,EAST,333.0
2018-06-06,1,0,WEST BENGAL,EAST,296.0
2018-06-07,1,0,WEST BENGAL,EAST,253.0
2018-06-08,1,0,WEST BENGAL,EAST,271.0
2018-06-09,1,0,WEST BENGAL,EAST,274.0
2018-06-10,1,0,WEST BENGAL,EAST,327.0
2018-06-11,1,0,WEST BENGAL,EAST,337.0
2018-06-12,1,0,WEST BENGAL,EAST,321.0
2018-06-13,1,0,WEST BENGAL,EAST,521.0
2018-06-14,1,0,WEST BENGAL,EAST,532.0
2018-06-15,1,0,WEST BENGAL,EAST,655.0
2018-06-16,1,0,WEST BENGAL,EAST,204.0
2018-06-17,1,0,WEST BENGAL,EAST,213.0
2018-06-18,1,0,WEST BENGAL,EAST,355.0
2018-06-19,1,0,WEST BENGAL,EAST,212.0
2018-06-20,1,0,WEST BENGAL,EAST,290.0
2018-06-21,1,0,WEST BENGAL,EAST,231.0
2018-06-22,1,0,WEST BENGAL,EAST,295.0
2018-06-23,1,0,WEST BENGAL,EAST,213.0
2018-06-24,1,0,WEST BENGAL,EAST,152.0
2018-06-25,1,0,WEST BENGAL,EAST,194.0
2018-06-26,1,0,WEST BENGAL,EAST,146.0
2018-06-27,1,0,WEST BENGAL,EAST,213.0
2018-06-28,1,0,WEST BENGAL,EAST,195.0
2018-06-29,1,0,WEST BENGAL,EAST,177.0
2018-06-30,1,0,WEST BENGAL,EAST,331.0
2018-07-01,1,0,WEST BENGAL,EAST,17.0
2018-07-02,1,0,WEST BENGAL,EAST,150.0
2018-07-03,1,0,WEST BENGAL,EAST,164.0
2018-07-04,1,0,WEST BENGAL,EAST,144.0
2018-07-05,1,0,WEST BENGAL,EAST,108.0
2018-07-06,1,0,WEST BENGAL,EAST,89.0
2018-07-07,1,0,WEST BENGAL,EAST,87.0
2018-07-08,1,0,WEST BENGAL,EAST,63.0
2018-07-09,1,0,WEST BENGAL,EAST,126.0
2018-07-10,1,0,WEST BENGAL,EAST,134.0
2018-07-11,1,0,WEST BENGAL,EAST,128.0
2018-07-12,1,0,WEST BENGAL,EAST,90.0
2018-07-13,1,0,WEST BENGAL,EAST,106.0
2018-07-14,1,0,WEST BENGAL,EAST,103.0
2018-07-15,1,0,WEST BENGAL,EAST,68.0
2018-07-16,1,0,WEST BENGAL,EAST,117.0
2018-07-17,1,0,WEST BENGAL,EAST,98.0
2018-07-18,1,0,WEST BENGAL,EAST,103.0
2018-07-19,1,0,WEST BENGAL,EAST,73.0
2018-07-20,1,0,WEST BENGAL,EAST,103.0
2018-07-21,1,0,WEST BENGAL,EAST,63.0
2018-07-22,1,0,WEST BENGAL,EAST,48.0
2018-07-23,1,0,WEST BENGAL,EAST,92.0
2018-07-24,1,0,WEST BENGAL,EAST,111.0
2018-07-25,1,0,WEST BENGAL,EAST,94.0
2018-07-26,1,0,WEST BENGAL,EAST,45.0
2018-07-27,1,0,WEST BENGAL,EAST,97.0
2018-07-28,1,0,WEST BENGAL,EAST,59.0
2018-07-29,1,0,WEST BENGAL,EAST,65.0
2018-07-30,1,0,WEST BENGAL,EAST,112.0
2018-07-31,1,0,WEST BENGAL,EAST,106.0
2018-08-01,1,0,WEST BENGAL,EAST,62.0
2018-08-02,1,0,WEST BENGAL,EAST,5.0
2018-08-03,1,0,WEST BENGAL,EAST,70.0
2018-08-04,1,0,WEST BENGAL,EAST,73.0
2018-08-05,1,0,WEST BENGAL,EAST,54.0
2018-08-06,1,0,WEST BENGAL,EAST,93.0
2018-08-07,1,0,WEST BENGAL,EAST,76.0
2018-08-08,1,0,WEST BENGAL,EAST,52.0
2018-08-09,1,0,WEST BENGAL,EAST,58.0
2018-08-10,1,0,WEST BENGAL,EAST,61.0
2018-08-11,1,0,WEST BENGAL,EAST,82.0
2018-08-12,1,0,WEST BENGAL,EAST,52.0
2018-08-13,1,0,WEST BENGAL,EAST,102.0
2018-08-14,1,0,WEST BENGAL,EAST,76.0
2018-08-15,1,0,WEST BENGAL,EAST,36.0
2018-08-16,1,0,WEST BENGAL,EAST,76.0
2018-08-17,1,0,WEST BENGAL,EAST,87.0
2018-08-18,1,0,WEST BENGAL,EAST,65.0
2018-08-19,1,0,WEST BENGAL,EAST,41.0
2018-08-20,1,0,WEST BENGAL,EAST,93.0
2018-08-21,1,0,WEST BENGAL,EAST,102.0
2018-08-22,1,0,WEST BENGAL,EAST,60.0
2018-08-23,1,0,WEST BENGAL,EAST,64.0
2018-08-24,1,0,WEST BENGAL,EAST,79.0
2018-08-25,1,0,WEST BENGAL,EAST,69.0
2018-08-26,1,0,WEST BENGAL,EAST,42.0
2018-08-27,1,0,WEST BENGAL,EAST,95.0
2018-08-28,1,0,WEST BENGAL,EAST,69.0
2018-08-29,1,0,WEST BENGAL,EAST,65.0
